x/h,Qstar/Q0star
0.2,1
0.4,1.00201
0.6,1.00721
0.8,1.01445
1,1.02415
1.2,1.0359
1.4,1.04779
1.6,1.06148
1.8,1.07028
2,1.07432
2.2,1.07416
2.4,1.08182
2.6,1.08277
2.8,1.08076
3,1.08097
3.2,1.07816
3.4,1.07692
3.6,1.07649
3.8,1.07936
4,1.07598
4.2,1.07222
4.4,1.06737
4.6,1.06196
4.8,1.05847
5,1.05525
5.2,1.04932
5.4,1.04839
5.6,1.03849
5.8,1.02655
6,1.01463
6.2,1.00878
6.4,0.997462
6.6,0.987948
6.8,0.978934
7,0.974667
7.2,0.967995
7.4,0.966373
7.6,0.9603
7.8,0.954849
8,0.946906
8.2,0.941637
8.4,0.929933
8.6,0.920798
8.8,0.906093
9,0.893085
9.2,0.882797
9.4,0.87505
9.6,0.86917
9.8,0.865024
10,0.856039
10.2,0.84515
10.4,0.841556
10.6,0.836535
10.8,0.825274
11,0.811577
11.2,0.798362
11.4,0.784903
11.6,0.767979
11.8,0.757102
12,0.744589
12.2,0.730557
12.4,0.718398
12.6,0.710827
12.8,0.705963
13,0.699234
13.2,0.691496
13.4,0.689
13.6,0.681578
13.8,0.674297
14,0.664641
14.2,0.657605
14.4,0.649981
14.6,0.643766
14.8,0.639832
15,0.63724
15.2,0.635645
15.4,0.633807
15.6,0.632959
15.8,0.632265
16,0.637545
16.2,0.640192
16.4,0.644857
16.6,0.648643
16.8,0.650566
17,0.655693
17.2,0.660163
17.4,0.666498
17.6,0.667276
17.8,0.667654
18,0.668756
18.2,0.671761
18.4,0.672931
18.6,0.672587
18.8,0.674183
19,0.671777
19.2,0.666631
19.4,0.661691
19.6,0.656296
19.8,0.649432
20,0.64037
20.2,0.633821
20.4,0.627089
20.6,0.619641
20.8,0.611949
21,0.604448
21.2,0.591952
21.4,0.577079
21.6,0.56069
21.8,0.547495
22,0.539207
22.2,0.535115
22.4,0.534703
22.6,0.527954
22.8,0.521435
23,0.512158
23.2,0.498536
23.4,0.486942
23.6,0.474059
23.8,0.463732
24,0.44863
24.2,0.432855
24.4,0.421609
24.6,0.40333
24.8,0.383665
25,0.360523
25.2,0.340947
25.4,0.325234
25.6,0.306598
25.8,0.287881
26,0.263781
26.2,0.242695
26.4,0.223699
26.6,0.205028
26.8,0.185144
27,0.165676
27.2,0.147459
27.4,0.1289
27.6,0.112829
27.8,0.0971158
28,0.0795527
28.2,0.0685625
