x/h,Uc/U0,Uc_rms/U0
0.2,0.971019,0.037149
0.4,0.96819,0.0367845
0.6,0.964862,0.0352071
0.8,0.965478,0.0342149
1,0.96254,0.033499
1.2,0.954528,0.033322
1.4,0.963214,0.0331384
1.6,0.955562,0.0330931
1.8,0.958194,0.0339721
2,0.960239,0.0345905
2.2,0.957664,0.0364824
2.4,0.96053,0.0378169
2.6,0.960844,0.0398905
2.8,0.959144,0.0420723
3,0.961431,0.0436911
3.2,0.960606,0.0460453
3.4,0.960235,0.0482361
3.6,0.959981,0.0515196
3.8,0.959473,0.0534131
4,0.95735,0.057489
4.2,0.954485,0.0610751
4.4,0.951674,0.0642935
4.6,0.947404,0.0698815
4.8,0.941576,0.0724078
5,0.937266,0.0770669
5.2,0.930749,0.0800494
5.4,0.92482,0.0839527
5.6,0.916284,0.0896822
5.8,0.910659,0.0936056
6,0.901324,0.0962568
6.2,0.894117,0.10224
6.4,0.885456,0.105669
6.6,0.878425,0.108553
6.8,0.868261,0.113239
7,0.860989,0.11561
7.2,0.851207,0.117938
7.4,0.844453,0.11999
7.6,0.836839,0.121833
7.8,0.829381,0.123323
8,0.821176,0.125256
8.2,0.812122,0.127371
8.4,0.802826,0.129192
8.6,0.7953,0.130852
8.8,0.786335,0.131823
9,0.779381,0.133453
9.2,0.769629,0.134831
9.4,0.764341,0.134588
9.6,0.757557,0.133565
9.8,0.749254,0.135043
10,0.741907,0.136402
10.2,0.734389,0.137365
10.4,0.727739,0.137741
10.6,0.720311,0.138651
10.8,0.715811,0.139033
11,0.707608,0.139105
11.2,0.699261,0.141903
11.4,0.69122,0.143288
11.6,0.682071,0.145882
11.8,0.672931,0.145447
12,0.664712,0.145537
12.2,0.656542,0.146351
12.4,0.650912,0.145244
12.6,0.643644,0.14544
12.8,0.641306,0.143704
13,0.636862,0.142843
13.2,0.631964,0.143982
13.4,0.629466,0.14399
13.6,0.624946,0.145258
13.8,0.619018,0.146137
14,0.614782,0.148163
14.2,0.611929,0.147862
14.4,0.609769,0.147758
14.6,0.607441,0.148552
14.8,0.604088,0.150296
15,0.602246,0.15276
15.2,0.602403,0.155232
15.4,0.602842,0.153841
15.6,0.60551,0.153989
15.8,0.606982,0.153584
16,0.610903,0.153715
16.2,0.613312,0.154477
16.4,0.613681,0.156322
16.6,0.616412,0.155311
16.8,0.616632,0.154365
17,0.616568,0.153885
17.2,0.61601,0.152436
17.4,0.615356,0.151354
17.6,0.614636,0.148359
17.8,0.61368,0.145339
18,0.612246,0.143482
18.2,0.609662,0.140896
18.4,0.607223,0.140078
18.6,0.602366,0.138213
18.8,0.599381,0.139612
19,0.594812,0.140989
19.2,0.590909,0.141809
19.4,0.585939,0.14274
19.6,0.58112,0.145714
19.8,0.574116,0.149177
20,0.568521,0.154207
20.2,0.560106,0.157697
20.4,0.553176,0.160811
20.6,0.545085,0.16423
20.8,0.536113,0.168264
21,0.526422,0.174378
21.2,0.516831,0.179798
21.4,0.508011,0.184451
21.6,0.497707,0.189025
21.8,0.487339,0.193716
22,0.475369,0.196695
22.2,0.463804,0.200776
22.4,0.45263,0.204122
22.6,0.438041,0.206925
22.8,0.42487,0.208733
23,0.411582,0.210151
23.2,0.39574,0.212527
23.4,0.381011,0.214618
23.6,0.367506,0.214864
23.8,0.354868,0.211895
24,0.338929,0.210106
24.2,0.323707,0.207842
24.4,0.311383,0.205833
24.6,0.295101,0.204033
24.8,0.281026,0.200422
25,0.264578,0.196533
25.2,0.24855,0.191601
25.4,0.23483,0.185821
25.6,0.221051,0.180992
25.8,0.210464,0.176017
26,0.197453,0.170293
26.2,0.184223,0.163881
26.4,0.17183,0.158253
26.6,0.158677,0.152388
26.8,0.144695,0.147176
27,0.131323,0.140941
27.2,0.118098,0.134528
27.4,0.104827,0.128852
27.6,0.0926422,0.123463
27.8,0.0821179,0.117959
28,0.0697425,0.108945
28.2,0.0583673,0.0894052
