x/h,Urms/Uc
0.2,0.0386019
0.4,0.0378815
0.6,0.0362549
0.8,0.0354835
1,0.03474
1.2,0.0349667
1.4,0.0342826
1.6,0.0348117
1.8,0.0352083
2,0.0361671
2.2,0.0377836
2.4,0.0390264
2.6,0.0410311
2.8,0.0434108
3,0.0452835
3.2,0.0473798
3.4,0.049526
3.6,0.0523661
3.8,0.0553809
4,0.0588201
4.2,0.0645298
4.4,0.0675426
4.6,0.0752767
4.8,0.0775113
5,0.0840669
5.2,0.0882465
5.4,0.0929171
5.6,0.0996291
5.8,0.104652
6,0.108304
6.2,0.116547
6.4,0.119499
6.6,0.125906
6.8,0.130083
7,0.133958
7.2,0.136217
7.4,0.139973
7.6,0.142794
7.8,0.146815
8,0.148703
8.2,0.152873
8.4,0.156126
8.6,0.159838
8.8,0.16269
9,0.164603
9.2,0.16853
9.4,0.169768
9.6,0.171829
9.8,0.173772
10,0.176229
10.2,0.177926
10.4,0.178952
10.6,0.181944
10.8,0.183127
11,0.185283
11.2,0.189221
11.4,0.19098
11.6,0.195794
11.8,0.199043
12,0.20071
12.2,0.203288
12.4,0.203308
12.6,0.204851
12.8,0.203259
13,0.203782
13.2,0.206255
13.4,0.207361
13.6,0.211558
13.8,0.217761
14,0.222414
14.2,0.224375
14.4,0.226207
14.6,0.229499
14.8,0.233636
15,0.238983
15.2,0.243049
15.4,0.243978
15.6,0.246253
15.8,0.246825
16,0.24666
16.2,0.247643
16.4,0.24936
16.6,0.248424
16.8,0.24813
17,0.249256
17.2,0.248263
17.4,0.247147
17.6,0.244514
17.8,0.241586
18,0.239828
18.2,0.237235
18.4,0.238499
18.6,0.238923
18.8,0.241004
19,0.243928
19.2,0.247152
19.4,0.250782
19.6,0.255433
19.8,0.260743
20,0.264885
20.2,0.267223
20.4,0.270407
20.6,0.27458
20.8,0.281865
21,0.292819
21.2,0.303264
21.4,0.312721
21.6,0.323978
21.8,0.335951
22,0.347627
22.2,0.361682
22.4,0.374615
22.6,0.389397
22.8,0.401468
23,0.412848
23.2,0.430037
23.4,0.446294
23.6,0.459696
23.8,0.468916
24,0.484127
24.2,0.498855
24.4,0.512013
24.6,0.532311
24.8,0.547059
25,0.565571
25.2,0.584675
25.4,0.600401
25.6,0.618655
25.8,0.631588
26,0.650085
26.2,0.670221
26.4,0.694355
26.6,0.720402
26.8,0.754102
27,0.797373
27.2,0.847131
27.4,0.894104
27.6,0.950439
27.8,1.01604
28,1.07668
28.2,1.0983
