y/y0.5,U/Uc_xh0,U/Uc_xh2,U/Uc_xh4,U/Uc_xh6,U/Uc_xh8,U/Uc_xh10
-10,,-0.0298333,-0.0375493,-0.0483681,-0.062403,-0.0747428
-9.96552,,-0.0294099,-0.0375144,-0.0485451,-0.0625064,-0.0745201
-9.93103,,-0.0296393,-0.037368,-0.0485186,-0.0623667,-0.0742727
-9.89655,,-0.0299223,-0.037399,-0.0483581,-0.0622216,-0.0742091
-9.86207,,-0.0295443,-0.0374412,-0.0485036,-0.0622798,-0.0741156
-9.82759,,-0.0293918,-0.0372899,-0.0486801,-0.0622844,-0.0738658
-9.7931,,-0.0298063,-0.0372147,-0.0485214,-0.0620945,-0.0737209
-9.75862,,-0.0297676,-0.0373322,-0.0483929,-0.0620669,-0.0736963
-9.72414,,-0.0293352,-0.0373271,-0.0485654,-0.0622053,-0.0735221
-9.68966,,-0.0295256,-0.0372259,-0.0485404,-0.0621338,-0.0732968
-9.65517,,-0.029871,-0.0373001,-0.0482863,-0.0620064,-0.0732349
-9.62069,,-0.0295243,-0.0374213,-0.0483217,-0.0621161,-0.0731755
-9.58621,,-0.0293111,-0.0373468,-0.0484842,-0.0622029,-0.0729447
-9.55172,,-0.0297325,-0.0373106,-0.0483329,-0.0620541,-0.0727811
-9.51724,,-0.029749,-0.0374434,-0.0482029,-0.0620237,-0.0727422
-9.48276,,-0.0292951,-0.037465,-0.0484248,-0.0622016,-0.0725658
-9.44828,,-0.0294195,-0.0373608,-0.0485218,-0.0622026,-0.0723103
-9.41379,,-0.0297857,-0.0374149,-0.0483333,-0.0620806,-0.0722039
-9.37931,,-0.0294601,-0.0375165,-0.048372,-0.0621948,-0.0721248
-9.34483,,-0.0291617,-0.0374158,-0.0485887,-0.0623383,-0.0718931
-9.31034,,-0.0295321,-0.0373093,-0.0484582,-0.0622154,-0.071692
-9.27586,,-0.0296067,-0.0373565,-0.04824,-0.0621402,-0.0716188
-9.24138,,-0.0291197,-0.0373038,-0.0483611,-0.062304,-0.0714436
-9.2069,,-0.029163,-0.0371335,-0.0484002,-0.0623188,-0.0711576
-9.17241,,-0.0295612,-0.0371428,-0.0480951,-0.0621615,-0.0710048
-9.13793,,-0.0292961,-0.0372469,-0.0479995,-0.0622269,-0.0709292
-9.10345,,-0.0289846,-0.0372028,-0.0481741,-0.0623847,-0.0707335
-9.06897,,-0.029386,-0.0371628,-0.0480616,-0.0622896,-0.0705644
-9.03448,,-0.0295742,-0.0372795,-0.0478143,-0.0621744,-0.0705449
-9,,-0.0291165,-0.0372877,-0.0479228,-0.0622992,-0.0704696
-8.96552,,-0.0291329,-0.0371285,-0.0480387,-0.0623176,-0.0702739
-8.93103,,-0.0295916,-0.0370922,-0.0477943,-0.0620959,-0.0701556
-8.89655,,-0.0294031,-0.0371159,-0.0476931,-0.0620468,-0.0700976
-8.86207,,-0.0290534,-0.0369825,-0.0479154,-0.0621653,-0.0699269
-8.82759,,-0.0294061,-0.0368341,-0.0479008,-0.0620606,-0.0697325
-8.7931,,-0.0296438,-0.0368766,-0.0476744,-0.0619142,-0.069711
-8.75862,,-0.0292001,-0.0368631,-0.0478014,-0.062063,-0.0697057
-8.72414,,-0.0291352,-0.0367142,-0.0480166,-0.0621883,-0.0695939
-8.68966,,-0.0295904,-0.0367073,-0.0478552,-0.0620807,-0.0695634
-8.65517,,-0.0294475,-0.0367832,-0.0477442,-0.0620977,-0.0696142
-8.62069,,-0.0290079,-0.0366899,-0.0479895,-0.0623005,-0.0695149
-8.58621,,-0.029279,-0.0365978,-0.0480057,-0.0622819,-0.0693243
-8.55172,,-0.0295713,-0.0366941,-0.0477129,-0.0621009,-0.0692173
-8.51724,,-0.0291598,-0.0367254,-0.0477282,-0.0621717,-0.0691011
-8.48276,,-0.0290443,-0.0366229,-0.0478968,-0.0622677,-0.0688499
-8.44828,,-0.0295099,-0.0366581,-0.0477136,-0.0621007,-0.0686711
-8.41379,,-0.0294258,-0.0367685,-0.047531,-0.062017,-0.0686339
-8.37931,,-0.0289352,-0.0366802,-0.0477599,-0.0621934,-0.0685332
-8.34483,,-0.0291111,-0.0365776,-0.0478695,-0.0622358,-0.0683948
-8.31034,,-0.0294301,-0.0366577,-0.0476475,-0.0621076,-0.0683957
-8.27586,,-0.0290256,-0.0366895,-0.0476658,-0.0622316,-0.0684266
-8.24138,,-0.02881,-0.0365857,-0.0479107,-0.0624505,-0.0683113
-8.2069,,-0.0292307,-0.036619,-0.0478004,-0.062403,-0.0681916
-8.17241,,-0.0292111,-0.0367789,-0.0475672,-0.0623398,-0.0681706
-8.13793,,-0.0287119,-0.0367557,-0.047752,-0.0625008,-0.0680487
-8.10345,,-0.0288639,-0.0367029,-0.0479102,-0.0625353,-0.0678426
-8.06897,,-0.0292624,-0.0368453,-0.0476909,-0.0623365,-0.0677751
-8.03448,,-0.0289288,-0.0369091,-0.0476423,-0.0623053,-0.0678083
-8,,-0.0286571,-0.0367708,-0.0478683,-0.0624506,-0.0677404
-7.96552,,-0.029072,-0.0367637,-0.0477557,-0.0623936,-0.0676599
-7.93103,,-0.0291329,-0.0368756,-0.0474291,-0.0622982,-0.0677026
-7.89655,,-0.0286316,-0.0367851,-0.0474687,-0.0624804,-0.0677391
-7.86207,,-0.0287185,-0.0366408,-0.0475739,-0.0626313,-0.0677095
-7.82759,,-0.0291513,-0.0367206,-0.0473144,-0.0625248,-0.0677896
-7.7931,,-0.0288711,-0.0367426,-0.0472011,-0.0625249,-0.0679534
-7.75862,,-0.0285278,-0.0365413,-0.0474539,-0.0626951,-0.0680358
-7.72414,,-0.0289009,-0.0364961,-0.0474842,-0.0626426,-0.0681573
-7.68966,,-0.0290519,-0.0366074,-0.0472275,-0.0624783,-0.0684221
-7.65517,,-0.0285735,-0.036513,-0.0472686,-0.06256,-0.0686204
-7.62069,,-0.0285863,-0.0363475,-0.0474159,-0.0626735,-0.0686776
-7.58621,,-0.0290424,-0.0364123,-0.0471531,-0.0625703,-0.0687944
-7.55172,,-0.0288251,-0.0364423,-0.0469044,-0.0625744,-0.0689344
-7.51724,,-0.0284232,-0.0362438,-0.0470645,-0.0628213,-0.0689376
-7.48276,,-0.0287598,-0.0361877,-0.0470972,-0.0629301,-0.0688981
-7.44828,,-0.0290141,-0.0363284,-0.0468386,-0.0628887,-0.0689542
-7.41379,,-0.0285625,-0.0362495,-0.046838,-0.0630502,-0.0689463
-7.37931,,-0.0284882,-0.0360616,-0.047053,-0.0632649,-0.0687736
-7.34483,,-0.0289735,-0.0361548,-0.0469246,-0.0632325,-0.0685994
-7.31034,,-0.0288413,-0.0362382,-0.0467087,-0.0631941,-0.0684632
-7.27586,,-0.0283949,-0.0360588,-0.0468797,-0.0633716,-0.068235
-7.24138,,-0.0286704,-0.036037,-0.0470119,-0.0634383,-0.0680515
-7.2069,,-0.0289759,-0.036247,-0.0467872,-0.0633125,-0.0680454
-7.17241,,-0.0285275,-0.0362217,-0.046731,-0.0633623,-0.0680228
-7.13793,,-0.028353,-0.0360437,-0.0469337,-0.0635288,-0.0677983
-7.10345,,-0.028841,-0.0361822,-0.0468362,-0.0634645,-0.0675221
-7.06897,,-0.0288149,-0.0363215,-0.0465551,-0.063357,-0.0673441
-7.03448,,-0.0283168,-0.0361161,-0.0466105,-0.0634829,-0.0671505
-7,,-0.0285079,-0.0360507,-0.0467062,-0.063554,-0.0668523
-6.96552,,-0.0288709,-0.0362777,-0.0464465,-0.0634212,-0.0665027
-6.93103,,-0.0284418,-0.0362587,-0.0462744,-0.0634318,-0.0661151
-6.89655,,-0.0281514,-0.0360116,-0.0464208,-0.0636323,-0.0656567
-6.86207,,-0.0286019,-0.0360991,-0.0463773,-0.0636467,-0.0652665
-6.82759,,-0.0286553,-0.0362293,-0.0461003,-0.0635916,-0.0649859
-6.7931,,-0.0281394,-0.0359561,-0.0461264,-0.0638005,-0.0647532
-6.75862,,-0.0282475,-0.0357752,-0.0462827,-0.0639928,-0.0646234
-6.72414,,-0.0286917,-0.0359642,-0.0461306,-0.0639599,-0.0646782
-6.68966,,-0.0283664,-0.0359192,-0.0459992,-0.0640375,-0.0647471
-6.65517,,-0.0280181,-0.0356093,-0.0462023,-0.0642847,-0.0646079
-6.62069,,-0.0284204,-0.0356898,-0.0462937,-0.0643569,-0.064354
-6.58621,,-0.0285399,-0.0359194,-0.0460726,-0.0642843,-0.0641757
-6.55172,,-0.0279714,-0.0357284,-0.0460481,-0.0644236,-0.0639768
-6.51724,,-0.0279466,-0.0355922,-0.046174,-0.0645912,-0.0637269
-6.48276,,-0.0283995,-0.0359044,-0.0459852,-0.0645546,-0.0634702
-6.44828,,-0.0281082,-0.0359879,-0.0456976,-0.0646022,-0.0631058
-6.41379,,-0.0276602,-0.0356618,-0.0457165,-0.0648807,-0.0625065
-6.37931,,-0.0280168,-0.0357166,-0.0457064,-0.0650704,-0.0618918
-6.34483,,-0.0282649,-0.0360024,-0.0454289,-0.065144,-0.0614789
-6.31034,,-0.0277566,-0.0357822,-0.0453148,-0.0653743,-0.061166
-6.27586,,-0.0276881,-0.0355286,-0.0454664,-0.0656592,-0.0608593
-6.24138,,-0.02823,-0.0358224,-0.0454161,-0.0657194,-0.0606803
-6.2069,,-0.0280896,-0.0359279,-0.0452355,-0.0657247,-0.0605904
-6.17241,,-0.027586,-0.035523,-0.0453207,-0.0659079,-0.0604253
-6.13793,,-0.0278904,-0.0355189,-0.0454278,-0.0660086,-0.0602317
-6.10345,,-0.0282336,-0.0358426,-0.0452391,-0.065935,-0.060197
-6.06897,,-0.0277357,-0.0356039,-0.0451217,-0.0659981,-0.0602389
-6.03448,,-0.0275402,-0.0352379,-0.0452566,-0.0661862,-0.0602057
-6,,-0.0280577,-0.0354923,-0.0452251,-0.0662197,-0.0602153
-5.96552,,-0.0279712,-0.0356622,-0.0450446,-0.066233,-0.0602264
-5.93103,,-0.027361,-0.0352774,-0.0450878,-0.0664756,-0.0600608
-5.89655,,-0.0275203,-0.0353001,-0.0452,-0.0667049,-0.0597734
