x/h,Qstar/Q0star
0.2,1
0.4,1.00188
0.6,1.00697
0.8,1.01427
1,1.02444
1.2,1.03623
1.4,1.04812
1.6,1.06187
1.8,1.06864
2,1.07289
2.2,1.07389
2.4,1.08008
2.6,1.08022
2.8,1.07905
3,1.0795
3.2,1.0775
3.4,1.07476
3.6,1.07337
3.8,1.07283
4,1.06942
4.2,1.06527
4.4,1.06096
4.6,1.05527
4.8,1.05016
5,1.04562
5.2,1.03738
5.4,1.0325
5.6,1.02581
5.8,1.01638
6,1.00713
6.2,0.999083
6.4,0.989648
6.6,0.981424
6.8,0.97354
7,0.965363
7.2,0.956467
7.4,0.949806
7.6,0.941201
7.8,0.933915
8,0.925249
8.2,0.916832
8.4,0.905865
8.6,0.895475
8.8,0.885165
9,0.876341
9.2,0.865366
9.4,0.857795
9.6,0.850423
9.8,0.842347
10,0.835422
10.2,0.827055
10.4,0.820312
10.6,0.814173
10.8,0.807361
11,0.795977
11.2,0.784693
11.4,0.775049
11.6,0.764896
11.8,0.758187
12,0.751575
12.2,0.742505
12.4,0.732903
12.6,0.727299
12.8,0.722923
13,0.718096
13.2,0.712661
13.4,0.709587
13.6,0.70424
13.8,0.700074
14,0.696496
14.2,0.691628
14.4,0.686161
14.6,0.682784
14.8,0.680367
15,0.677914
15.2,0.675525
15.4,0.675509
15.6,0.676148
15.8,0.677185
16,0.681243
16.2,0.683996
16.4,0.688569
16.6,0.688942
16.8,0.685062
17,0.68557
17.2,0.686747
17.4,0.690417
17.6,0.69217
17.8,0.692051
18,0.693504
18.2,0.69789
18.4,0.700642
18.6,0.70172
18.8,0.700156
19,0.698452
19.2,0.693638
19.4,0.689318
19.6,0.687689
19.8,0.683293
20,0.680957
20.2,0.679439
20.4,0.675402
20.6,0.673348
20.8,0.670184
21,0.66574
21.2,0.659458
21.4,0.655099
21.6,0.649936
21.8,0.643309
22,0.636325
22.2,0.63092
22.4,0.627864
22.6,0.622549
22.8,0.61796
23,0.611656
23.2,0.603285
23.4,0.593749
23.6,0.583109
23.8,0.57312
24,0.561094
24.2,0.547269
24.4,0.533828
24.6,0.518311
24.8,0.499484
25,0.477179
25.2,0.456174
25.4,0.436177
25.6,0.415568
25.8,0.398434
26,0.380297
26.2,0.362541
26.4,0.345854
26.6,0.327595
26.8,0.309578
27,0.289896
27.2,0.270422
27.4,0.251647
27.6,0.232985
27.8,0.215941
28,0.199084
28.2,0.185353
