y/y0.5,U/Uc_xh0,U/Uc_xh2,U/Uc_xh4,U/Uc_xh6,U/Uc_xh8,U/Uc_xh10
-7.34483,,-0.0278829,-0.0397889,-0.0580413,-0.0817878,-0.11183
-7.31034,,-0.027729,-0.0399683,-0.0577717,-0.0817724,-0.111977
-7.27586,,-0.0272889,-0.0398715,-0.0578068,-0.081985,-0.112054
-7.24138,,-0.0275852,-0.0398751,-0.0578444,-0.0821132,-0.112105
-7.2069,,-0.0278878,-0.0401027,-0.0575925,-0.0820753,-0.112215
-7.17241,,-0.0274353,-0.0401068,-0.0574877,-0.0821759,-0.112314
-7.13793,,-0.0272751,-0.0399545,-0.0576528,-0.0823508,-0.112344
-7.10345,,-0.0277547,-0.0400754,-0.0575932,-0.082292,-0.112456
-7.06897,,-0.0276948,-0.0402135,-0.0573518,-0.0821673,-0.112697
-7.03448,,-0.0272111,-0.0400341,-0.0573894,-0.082227,-0.11291
-7,,-0.0274378,-0.0399434,-0.0574964,-0.0822408,-0.113039
-6.96552,,-0.0278222,-0.0401319,-0.0573247,-0.082087,-0.113178
-6.93103,,-0.027429,-0.0401043,-0.0572259,-0.0820522,-0.113298
-6.89655,,-0.0271888,-0.0398861,-0.0574151,-0.0821609,-0.113331
-6.86207,,-0.0276546,-0.0399816,-0.0574488,-0.0821131,-0.11333
-6.82759,,-0.0276812,-0.0401458,-0.0572734,-0.0819731,-0.113327
-6.7931,,-0.0271489,-0.0399519,-0.0573593,-0.0819638,-0.113265
-6.75862,,-0.0272588,-0.0398258,-0.0576087,-0.0818778,-0.11313
-6.72414,,-0.027674,-0.0400366,-0.0575996,-0.0815621,-0.113
-6.68966,,-0.0273164,-0.0400284,-0.0575601,-0.081319,-0.11291
-6.65517,,-0.0269732,-0.0397583,-0.0577864,-0.081247,-0.112824
-6.62069,,-0.0274013,-0.0398247,-0.057907,-0.0810444,-0.112787
-6.58621,,-0.0275342,-0.0400181,-0.0577721,-0.0807518,-0.112828
-6.55172,,-0.0270061,-0.0398013,-0.0578063,-0.0806548,-0.112834
-6.51724,,-0.0270327,-0.0396095,-0.0579951,-0.0805953,-0.112771
-6.48276,,-0.0275108,-0.0398252,-0.0579248,-0.0803526,-0.112737
-6.44828,,-0.027241,-0.03984,-0.0577451,-0.0801862,-0.112691
-6.41379,,-0.0268122,-0.0395114,-0.0578158,-0.0802502,-0.112558
-6.37931,,-0.0271819,-0.0395351,-0.0578714,-0.0802461,-0.112423
-6.34483,,-0.0274047,-0.0397633,-0.0576527,-0.0801118,-0.112351
-6.31034,,-0.0268703,-0.0395327,-0.0574937,-0.0801118,-0.112215
-6.27586,,-0.0267771,-0.0392596,-0.0575071,-0.0801597,-0.111986
-6.24138,,-0.0272772,-0.0394709,-0.057319,-0.0800124,-0.111814
-6.2069,,-0.0271048,-0.0395169,-0.056987,-0.0798763,-0.111717
-6.17241,,-0.0266186,-0.0391226,-0.0568908,-0.0799244,-0.111552
-6.13793,,-0.0269291,-0.0390833,-0.0568656,-0.0798879,-0.111325
-6.10345,,-0.0272541,-0.0393668,-0.0566333,-0.0797045,-0.111124
-6.06897,,-0.0267552,-0.0391677,-0.0564686,-0.0796516,-0.110915
-6.03448,,-0.0265596,-0.0388407,-0.0565258,-0.0796786,-0.110668
-6,,-0.0270814,-0.0390778,-0.0564478,-0.0795095,-0.110425
-5.96552,,-0.027027,-0.0392106,-0.0562002,-0.0792702,-0.110149
-5.93103,,-0.0264838,-0.0387987,-0.0561365,-0.0791759,-0.109834
-5.89655,,-0.0267055,-0.0387025,-0.0561717,-0.07903,-0.109552
-5.86207,,-0.02713,-0.0390492,-0.056002,-0.0787274,-0.109296
-5.82759,,-0.0266908,-0.0389006,-0.0558245,-0.0785116,-0.109015
-5.7931,,-0.0263878,-0.0385027,-0.0558537,-0.0783943,-0.108707
-5.75862,,-0.0268974,-0.0387307,-0.055802,-0.0780959,-0.10845
-5.72414,,-0.0269466,-0.0389625,-0.0555574,-0.0777029,-0.108243
-5.68966,,-0.0263464,-0.0385442,-0.0554245,-0.0775086,-0.107972
-5.65517,,-0.0264432,-0.03837,-0.0553827,-0.0773693,-0.107625
-5.62069,,-0.0269412,-0.0387585,-0.0551401,-0.0770898,-0.107287
-5.58621,,-0.0265715,-0.0386505,-0.0548347,-0.0768506,-0.106911
-5.55172,,-0.0261513,-0.0381371,-0.0547118,-0.0767255,-0.106457
-5.51724,,-0.0266185,-0.0382725,-0.0545647,-0.0764677,-0.106009
-5.48276,,-0.0267916,-0.0385509,-0.0542625,-0.076095,-0.105577
-5.44828,,-0.026171,-0.0381,-0.0540647,-0.0758277,-0.105073
-5.41379,,-0.0261432,-0.037799,-0.0539994,-0.0755465,-0.104543
-5.37931,,-0.0267048,-0.0382096,-0.0537847,-0.0750854,-0.104053
-5.34483,,-0.0264355,-0.0382055,-0.0534794,-0.0746433,-0.103501
-5.31034,,-0.0259004,-0.0376586,-0.0533326,-0.0743415,-0.102851
-5.27586,,-0.0262877,-0.0377639,-0.0532071,-0.0739727,-0.102248
-5.24138,,-0.0265785,-0.038172,-0.0529458,-0.0735324,-0.101738
-5.2069,,-0.0259551,-0.0377875,-0.0527638,-0.0732816,-0.101202
-5.17241,,-0.0257725,-0.0373824,-0.0527413,-0.073157,-0.100545
-5.13793,,-0.0263649,-0.0377759,-0.0526386,-0.0729316,-0.0998092
-5.10345,,-0.0262129,-0.0378563,-0.0524772,-0.0727316,-0.0989957
-5.06897,,-0.0255896,-0.0372376,-0.0524748,-0.0726818,-0.098103
-5.03448,,-0.0258916,-0.0372142,-0.0525194,-0.0725736,-0.0971589
-5,,-0.02634,-0.0376845,-0.0524193,-0.0723519,-0.0961185
-4.96552,,-0.0257856,-0.0373721,-0.0523305,-0.0722516,-0.0949096
-4.93103,,-0.0254636,-0.0368756,-0.0523396,-0.0722291,-0.0936284
-4.89655,,-0.0260684,-0.0372608,-0.0522528,-0.0720638,-0.092378
