y/y0.5,U/Uc_xh0,U/Uc_xh2,U/Uc_xh4,U/Uc_xh6,U/Uc_xh8,U/Uc_xh10
-10,,-0.0292444,-0.0374341,-0.048154,-0.0635665,-0.0823731
-9.96552,,-0.0288389,-0.0374057,-0.0483327,-0.0636626,-0.082261
-9.93103,,-0.0290769,-0.03726,-0.0482898,-0.0635425,-0.082152
-9.89655,,-0.0293628,-0.0373153,-0.0480968,-0.0634226,-0.082209
-9.86207,,-0.0289801,-0.0374022,-0.0481903,-0.0635235,-0.0822347
-9.82759,,-0.0288231,-0.0372781,-0.0483268,-0.0635393,-0.0821247
-9.7931,,-0.0292409,-0.0372183,-0.0481573,-0.0633593,-0.0820953
-9.75862,,-0.0291976,-0.0373481,-0.0480554,-0.0633326,-0.0821609
-9.72414,,-0.0287588,-0.0373485,-0.0482352,-0.0634347,-0.0820796
-9.68966,,-0.028947,-0.0372251,-0.0482394,-0.0633168,-0.081922
-9.65517,,-0.0292882,-0.0372876,-0.0480329,-0.063141,-0.0819066
-9.62069,,-0.0289444,-0.0373968,-0.0480963,-0.063192,-0.08191
-9.58621,,-0.0287305,-0.0373008,-0.0482706,-0.0632087,-0.081786
-9.55172,,-0.0291508,-0.0372347,-0.0481308,-0.0630035,-0.0817356
-9.51724,,-0.029185,-0.0373445,-0.0479974,-0.0629171,-0.081825
-9.48276,,-0.0287394,-0.0373356,-0.0481773,-0.063016,-0.0818087
-9.44828,,-0.0288823,-0.0371905,-0.0482252,-0.0629294,-0.0816944
-9.41379,,-0.0292738,-0.0372195,-0.0480078,-0.0627319,-0.0816814
-9.37931,,-0.0289725,-0.0373137,-0.0480286,-0.0627657,-0.0816644
-9.34483,,-0.0287033,-0.0372148,-0.0482323,-0.0628239,-0.0814625
-9.31034,,-0.0291015,-0.0371334,-0.0481294,-0.062639,-0.0812542
-9.27586,,-0.0291944,-0.0372304,-0.0479626,-0.0625137,-0.0811813
-9.24138,,-0.0287319,-0.0372285,-0.0481264,-0.0626085,-0.0810515
-9.2069,,-0.028801,-0.0370897,-0.0482121,-0.062556,-0.0808337
-9.17241,,-0.0292115,-0.0371122,-0.0479798,-0.0623357,-0.0807261
-9.13793,,-0.0289522,-0.0372099,-0.0479342,-0.0623267,-0.0806726
-9.10345,,-0.0286249,-0.0371291,-0.048129,-0.0624054,-0.0805001
-9.06897,,-0.0289956,-0.0370517,-0.0480467,-0.0622392,-0.0803356
-9.03448,,-0.0291555,-0.0371596,-0.0478384,-0.0620736,-0.080314
-9,,-0.028694,-0.0371983,-0.0479711,-0.0621485,-0.080267
-8.96552,,-0.0286982,-0.0370916,-0.0481049,-0.0621311,-0.0801272
-8.93103,,-0.0291369,-0.0371307,-0.0478982,-0.0618998,-0.0800851
-8.89655,,-0.0289346,-0.0372469,-0.0478188,-0.061843,-0.0801231
-8.86207,,-0.0285644,-0.0371709,-0.0480312,-0.0619427,-0.0800579
-8.82759,,-0.0289055,-0.0370741,-0.0480039,-0.0618161,-0.0799574
-8.7931,,-0.0291372,-0.0371519,-0.0477755,-0.0616349,-0.07996
-8.75862,,-0.0286918,-0.0371653,-0.0478743,-0.0617244,-0.0799438
-8.72414,,-0.028627,-0.0370352,-0.0480526,-0.0617848,-0.0798062
-8.68966,,-0.0290765,-0.0370499,-0.0478712,-0.0616094,-0.0797092
-8.65517,,-0.0289323,-0.0371563,-0.0477466,-0.061562,-0.0796774
-8.62069,,-0.0285074,-0.0370813,-0.0479552,-0.0617091,-0.0795482
-8.58621,,-0.0287882,-0.0369807,-0.0479685,-0.0616492,-0.0793715
-8.55172,,-0.0290708,-0.0370617,-0.0477195,-0.0614592,-0.0793027
-8.51724,,-0.0286396,-0.0370871,-0.0477662,-0.0615103,-0.0792461
-8.48276,,-0.0284964,-0.0369536,-0.0479766,-0.061588,-0.0790851
-8.44828,,-0.0289426,-0.0369502,-0.0478418,-0.0614125,-0.0789594
-8.41379,,-0.0288659,-0.0370512,-0.0476932,-0.0613123,-0.07891
-8.37931,,-0.0284098,-0.0369815,-0.0479062,-0.0614533,-0.078782
-8.34483,,-0.0286284,-0.0368788,-0.0479992,-0.0614518,-0.0785825
-8.31034,,-0.0289648,-0.0369681,-0.0477747,-0.0612825,-0.0784675
-8.27586,,-0.0285752,-0.0370131,-0.0477814,-0.0613343,-0.0783803
-8.24138,,-0.0283641,-0.03689,-0.0480194,-0.0614807,-0.0782042
-8.2069,,-0.0288074,-0.036891,-0.0479364,-0.0613833,-0.0780623
-8.17241,,-0.0288137,-0.0370169,-0.0477479,-0.0612944,-0.0780293
-8.13793,,-0.0283388,-0.0369726,-0.0479303,-0.0614586,-0.0779317
-8.10345,,-0.0284976,-0.0368851,-0.0480774,-0.0615302,-0.0777371
-8.06897,,-0.0288914,-0.0369996,-0.0478651,-0.0613912,-0.077615
-8.03448,,-0.028559,-0.037068,-0.0478099,-0.061428,-0.0775419
-8,,-0.0282876,-0.0369343,-0.0480342,-0.0616094,-0.0773892
-7.96552,,-0.0287053,-0.0369173,-0.0479754,-0.0615548,-0.0772246
-7.93103,,-0.0287811,-0.0370328,-0.0477288,-0.0614383,-0.0771455
-7.89655,,-0.0282867,-0.036963,-0.0478258,-0.061571,-0.0770183
-7.86207,,-0.028356,-0.0368313,-0.0479833,-0.0616563,-0.0768009
-7.82759,,-0.028774,-0.0369185,-0.0477816,-0.0615042,-0.0766464
-7.7931,,-0.0284954,-0.0369792,-0.0476686,-0.0614779,-0.076556
-7.75862,,-0.0281571,-0.0368325,-0.0478943,-0.061631,-0.0763942
-7.72414,,-0.0285406,-0.0368204,-0.0479166,-0.0615823,-0.0762318
-7.68966,,-0.0287091,-0.0369735,-0.0476823,-0.0614203,-0.0761703
-7.65517,,-0.0282336,-0.0369276,-0.0477484,-0.0614859,-0.0760832
-7.62069,,-0.0282333,-0.0367921,-0.0479559,-0.0615619,-0.0759003
-7.58621,,-0.0286873,-0.0368881,-0.0478049,-0.0613866,-0.0757581
-7.55172,,-0.0284753,-0.0369545,-0.0476425,-0.061283,-0.0756704
-7.51724,,-0.0280686,-0.0367886,-0.0478302,-0.0613875,-0.0755138
-7.48276,,-0.0283965,-0.0367446,-0.0478881,-0.0613333,-0.0753357
-7.44828,,-0.0286327,-0.0369027,-0.0476358,-0.0611329,-0.0752605
-7.41379,,-0.0281611,-0.0368554,-0.0476203,-0.0611447,-0.0752053
-7.37931,,-0.0280657,-0.0366887,-0.0478256,-0.0612358,-0.0750862
-7.34483,,-0.0285322,-0.0367931,-0.0477217,-0.0611035,-0.0750105
-7.31034,,-0.0284036,-0.0368935,-0.0475214,-0.0609916,-0.0750126
-7.27586,,-0.0279626,-0.0367168,-0.0476741,-0.0610987,-0.074969
-7.24138,,-0.0282359,-0.0366646,-0.0477885,-0.0610966,-0.0748924
-7.2069,,-0.028547,-0.0368558,-0.0475572,-0.0608981,-0.0748767
-7.17241,,-0.0281091,-0.0368225,-0.0474859,-0.0608619,-0.0748478
-7.13793,,-0.0279245,-0.036643,-0.0476894,-0.0609389,-0.0747191
-7.10345,,-0.0283898,-0.0367573,-0.0476381,-0.0607979,-0.0745919
-7.06897,,-0.0283503,-0.0368951,-0.0474248,-0.0606272,-0.0745247
-7.03448,,-0.0278629,-0.0367055,-0.0475393,-0.0606889,-0.074428
-7,,-0.0280615,-0.0366166,-0.0477084,-0.0607031,-0.0742943
-6.96552,,-0.0284465,-0.0368236,-0.0475421,-0.0605179,-0.0742136
-6.93103,,-0.028063,-0.0368007,-0.0474424,-0.0604724,-0.0741315
-6.89655,,-0.0277995,-0.0365712,-0.0476405,-0.0605915,-0.0739657
-6.86207,,-0.0282468,-0.0366717,-0.0476539,-0.0605344,-0.0737962
-6.82759,,-0.0282921,-0.0368399,-0.0474376,-0.0604033,-0.0736672
-6.7931,,-0.0277597,-0.0366291,-0.0474884,-0.0604959,-0.0735035
-6.75862,,-0.0278425,-0.0365029,-0.047673,-0.0605878,-0.07332
-6.72414,,-0.0282624,-0.0367446,-0.0475496,-0.0604619,-0.0732161
-6.68966,,-0.0279245,-0.0367616,-0.047413,-0.060411,-0.0731534
-6.65517,,-0.0275683,-0.0365064,-0.0475881,-0.0605345,-0.0730341
-6.62069,,-0.0279783,-0.0366126,-0.047653,-0.0604976,-0.0729284
-6.58621,,-0.028125,-0.0368498,-0.0474434,-0.0603305,-0.0728998
-6.55172,,-0.0275993,-0.0366464,-0.047428,-0.0603617,-0.0728405
-6.51724,,-0.0276041,-0.0364705,-0.0475935,-0.0604362,-0.0727182
-6.48276,,-0.0280893,-0.0367271,-0.0474956,-0.0602944,-0.0726293
-6.44828,,-0.0278474,-0.0367646,-0.0473138,-0.0601833,-0.0725502
-6.41379,,-0.0274152,-0.036436,-0.0474259,-0.0602692,-0.0723916
-6.37931,,-0.0277779,-0.0364947,-0.0475184,-0.0602402,-0.0722243
-6.34483,,-0.0280229,-0.0367804,-0.0473388,-0.0600541,-0.0721441
-6.31034,,-0.0275006,-0.0365852,-0.0472816,-0.0600364,-0.0720621
-6.27586,,-0.0273964,-0.0363576,-0.0474421,-0.0601026,-0.0719371
-6.24138,,-0.0279031,-0.0366481,-0.0473985,-0.0599591,-0.0718642
-6.2069,,-0.027752,-0.0367556,-0.0472189,-0.0598095,-0.0718241
-6.17241,,-0.0272564,-0.0363942,-0.0472895,-0.0598612,-0.0717153
-6.13793,,-0.027547,-0.0364147,-0.0474093,-0.0598426,-0.0715869
-6.10345,,-0.0278806,-0.0367704,-0.0472789,-0.0596616,-0.0715211
-6.06897,,-0.0273883,-0.0366048,-0.0472055,-0.0596238,-0.0714533
-6.03448,,-0.0271758,-0.03631,-0.0473681,-0.0597148,-0.0713238
-6,,-0.0276944,-0.036617,-0.0473914,-0.0596376,-0.0712358
-5.96552,,-0.0276505,-0.0368093,-0.0472446,-0.059527,-0.0711902
-5.93103,,-0.0270916,-0.0364263,-0.0472937,-0.0596287,-0.0710682
-5.89655,,-0.0272897,-0.0363847,-0.0474315,-0.0597106,-0.0708939
-5.86207,,-0.0277238,-0.0368014,-0.0473474,-0.0596177,-0.0707581
-5.82759,,-0.0272965,-0.0366801,-0.0472597,-0.05963,-0.0706
-5.7931,,-0.026982,-0.0362969,-0.0473913,-0.0597841,-0.0703617
-5.75862,,-0.0274946,-0.0365788,-0.0474458,-0.0597759,-0.0701321
