y/y0.5,U/Uc_xh0,U/Uc_xh2,U/Uc_xh4,U/Uc_xh6,U/Uc_xh8,U/Uc_xh10
-10,,-0.0298192,-0.03776,-0.0488234,-0.0636447,-0.0808674
-9.96552,,-0.0294118,-0.0377218,-0.0489936,-0.0637464,-0.0807693
-9.93103,,-0.0296413,-0.0375768,-0.0489328,-0.0636273,-0.080637
-9.89655,,-0.0299333,-0.0376215,-0.0487203,-0.0635052,-0.0806596
-9.86207,,-0.029563,-0.0376929,-0.0488156,-0.0636136,-0.0806517
-9.82759,,-0.0294097,-0.0375607,-0.0489561,-0.0636464,-0.0804934
-9.7931,,-0.0298325,-0.0374819,-0.0487784,-0.0634897,-0.080422
-9.75862,,-0.0297989,-0.0375889,-0.0486764,-0.0634929,-0.0804728
-9.72414,,-0.0293634,-0.0375795,-0.0488745,-0.0636255,-0.0803934
-9.68966,,-0.0295411,-0.0374586,-0.0488797,-0.0635319,-0.0802631
-9.65517,,-0.0298756,-0.0375198,-0.0486613,-0.0633712,-0.0802897
-9.62069,,-0.0295352,-0.0376289,-0.0487203,-0.0634305,-0.080325
-9.58621,,-0.0293197,-0.037548,-0.04888,-0.0634666,-0.0802074
-9.55172,,-0.0297375,-0.0374907,-0.0487038,-0.0632885,-0.080138
-9.51724,,-0.0297743,-0.0376011,-0.0485414,-0.063243,-0.0801913
-9.48276,,-0.0293285,-0.0375962,-0.0487175,-0.0634057,-0.0801275
-9.44828,,-0.029453,-0.0374612,-0.0487631,-0.0633957,-0.0799798
-9.41379,,-0.0298287,-0.0374853,-0.0485428,-0.0632758,-0.0799601
-9.37931,,-0.0295242,-0.0375679,-0.0485743,-0.0633841,-0.0799737
-9.34483,,-0.0292435,-0.0374633,-0.0487874,-0.0635093,-0.0798412
-9.31034,,-0.029629,-0.0373655,-0.0486715,-0.0633797,-0.0797309
-9.27586,,-0.0297236,-0.037441,-0.0484831,-0.0632952,-0.0797473
-9.24138,,-0.0292603,-0.0374236,-0.0486408,-0.0634228,-0.0796862
-9.2069,,-0.0293224,-0.0372767,-0.048714,-0.0633981,-0.0795211
-9.17241,,-0.0297346,-0.0372921,-0.048456,-0.0631904,-0.079462
-9.13793,,-0.0294859,-0.0373845,-0.048401,-0.0631896,-0.0794574
