x/h,Urms/Uc
0.2,0.0386773
0.4,0.0376146
0.6,0.0364345
0.8,0.035232
1,0.034631
1.2,0.0347708
1.4,0.0342123
1.6,0.034845
1.8,0.0353126
2,0.0363624
2.2,0.0380017
2.4,0.0393674
2.6,0.0413278
2.8,0.0436168
3,0.0455697
3.2,0.0476284
3.4,0.0503049
3.6,0.0529397
3.8,0.0560029
4,0.0598372
4.2,0.0651421
4.4,0.0693221
4.6,0.0754174
4.8,0.0792263
5,0.0849449
5.2,0.0896745
5.4,0.0933608
5.6,0.0987439
5.8,0.104311
6,0.107557
6.2,0.114466
6.4,0.117956
6.6,0.123224
6.8,0.127714
7,0.132003
7.2,0.134594
7.4,0.137684
7.6,0.140544
7.8,0.143905
8,0.145603
8.2,0.150065
8.4,0.152789
8.6,0.156668
8.8,0.158913
9,0.16184
9.2,0.164681
9.4,0.167111
9.6,0.168856
9.8,0.171315
10,0.174345
10.2,0.176493
10.4,0.178208
10.6,0.18012
10.8,0.181861
11,0.183231
11.2,0.186062
11.4,0.18805
11.6,0.191581
11.8,0.193742
12,0.194823
12.2,0.197024
12.4,0.19831
12.6,0.198912
12.8,0.198265
13,0.198038
13.2,0.200019
13.4,0.200464
13.6,0.203491
13.8,0.208925
14,0.213135
14.2,0.215482
14.4,0.216968
14.6,0.219763
14.8,0.222305
15,0.226968
15.2,0.229772
15.4,0.229932
15.6,0.229924
15.8,0.230918
16,0.230107
16.2,0.22995
16.4,0.231304
16.6,0.23002
16.8,0.229036
17,0.229439
17.2,0.227594
17.4,0.227279
17.6,0.225914
17.8,0.223688
18,0.222866
18.2,0.221171
18.4,0.222127
18.6,0.223806
18.8,0.225229
19,0.228113
19.2,0.230692
19.4,0.232882
19.6,0.23616
19.8,0.239233
20,0.242266
20.2,0.244332
20.4,0.246457
20.6,0.249937
20.8,0.254932
21,0.262892
21.2,0.270564
21.4,0.277497
21.6,0.285427
21.8,0.294016
22,0.302473
22.2,0.31181
22.4,0.321048
22.6,0.331512
22.8,0.340588
23,0.348694
23.2,0.361061
23.4,0.372473
23.6,0.38208
23.8,0.389191
24,0.400322
24.2,0.411149
24.4,0.421135
24.6,0.435865
24.8,0.447404
25,0.461019
25.2,0.475827
25.4,0.488976
25.6,0.503554
25.8,0.514112
26,0.528954
26.2,0.543886
26.4,0.561355
26.6,0.58
26.8,0.601882
27,0.629093
27.2,0.658518
27.4,0.685562
27.6,0.716236
27.8,0.748765
28,0.775279
28.2,0.784161
