x/h,Qstar/Q0star
0.2,1
0.4,1.00193
0.6,1.00708
0.8,1.01432
1,1.02423
1.2,1.03625
1.4,1.04787
1.6,1.06144
1.8,1.06993
2,1.07426
2.2,1.07437
2.4,1.08066
2.6,1.08084
2.8,1.07872
3,1.07925
3.2,1.07831
3.4,1.07582
3.6,1.07483
3.8,1.07649
4,1.07323
4.2,1.069
4.4,1.06382
4.6,1.05731
4.8,1.0537
5,1.04935
5.2,1.0419
5.4,1.03826
5.6,1.03126
5.8,1.02045
6,1.01
6.2,1.00277
6.4,0.993031
6.6,0.983898
6.8,0.976595
7,0.969235
7.2,0.960739
7.4,0.953407
7.6,0.947073
7.8,0.940448
8,0.93208
8.2,0.926043
8.4,0.915016
8.6,0.906206
8.8,0.894596
9,0.884375
9.2,0.872894
9.4,0.864352
9.6,0.857687
9.8,0.852929
10,0.847614
10.2,0.839256
10.4,0.832744
10.6,0.825262
10.8,0.816185
11,0.804263
11.2,0.793982
11.4,0.78384
11.6,0.771687
11.8,0.762523
12,0.75288
12.2,0.7408
12.4,0.728727
12.6,0.720285
12.8,0.713729
13,0.707532
13.2,0.70347
13.4,0.700063
13.6,0.691856
13.8,0.685912
14,0.678923
14.2,0.672744
14.4,0.666325
14.6,0.661505
14.8,0.656422
15,0.652664
15.2,0.648399
15.4,0.646951
15.6,0.646943
15.8,0.646982
16,0.650325
16.2,0.652746
16.4,0.655245
16.6,0.649635
16.8,0.644768
17,0.643776
17.2,0.642798
17.4,0.64567
17.6,0.645511
17.8,0.642572
18,0.641016
18.2,0.642713
18.4,0.642263
18.6,0.641607
18.8,0.639405
19,0.636057
19.2,0.629291
19.4,0.624431
19.6,0.622224
19.8,0.619125
20,0.614229
20.2,0.611503
20.4,0.607146
20.6,0.603578
20.8,0.600435
21,0.598842
21.2,0.594043
21.4,0.587621
21.6,0.579252
21.8,0.572771
22,0.568845
22.2,0.569381
22.4,0.571161
22.6,0.572194
22.8,0.568296
23,0.565517
23.2,0.560538
23.4,0.555792
23.6,0.55189
23.8,0.544454
24,0.534457
24.2,0.520409
24.4,0.505217
24.6,0.483325
24.8,0.46091
25,0.435027
25.2,0.408653
25.4,0.383587
25.6,0.360483
25.8,0.34118
26,0.318888
26.2,0.296314
26.4,0.277435
26.6,0.255668
26.8,0.236169
27,0.215965
27.2,0.197136
27.4,0.177979
27.6,0.16077
27.8,0.145026
28,0.128164
28.2,0.115498
