x/h,Qstar/Q0star
0.2,1
0.4,1.00203
0.6,1.00698
0.8,1.0142
1,1.02444
1.2,1.03623
1.4,1.04808
1.6,1.06191
1.8,1.06731
2,1.07185
2.2,1.07278
2.4,1.07798
2.6,1.07753
2.8,1.07657
3,1.07716
3.2,1.07524
3.4,1.07167
3.6,1.06941
3.8,1.06924
4,1.06534
4.2,1.06102
4.4,1.05591
4.6,1.04824
4.8,1.04264
5,1.03708
5.2,1.0278
5.4,1.02199
5.6,1.01396
5.8,1.00434
6,0.994199
6.2,0.985147
6.4,0.976783
6.6,0.967747
6.8,0.957349
7,0.947592
7.2,0.937654
7.4,0.928196
7.6,0.92007
7.8,0.911652
8,0.904613
8.2,0.896368
8.4,0.888213
8.6,0.879881
8.8,0.871131
9,0.86529
9.2,0.855829
9.4,0.849198
9.6,0.843145
9.8,0.835735
10,0.830637
10.2,0.82227
10.4,0.815632
10.6,0.809406
10.8,0.802092
11,0.791797
11.2,0.780743
11.4,0.770714
11.6,0.759915
11.8,0.750993
12,0.741486
12.2,0.730624
12.4,0.721805
12.6,0.714754
12.8,0.707389
13,0.700183
13.2,0.693836
13.4,0.689516
13.6,0.681629
13.8,0.674807
14,0.66719
14.2,0.658172
14.4,0.649888
14.6,0.642774
14.8,0.63642
15,0.629963
15.2,0.625748
15.4,0.622044
15.6,0.619523
15.8,0.616718
16,0.616934
16.2,0.617668
16.4,0.616076
16.6,0.614113
16.8,0.612312
17,0.612302
17.2,0.61263
17.4,0.612606
17.6,0.612496
17.8,0.612332
18,0.611431
18.2,0.610243
18.4,0.609124
18.6,0.609555
18.8,0.607944
19,0.607192
19.2,0.605264
19.4,0.601066
19.6,0.597063
19.8,0.593766
20,0.593345
20.2,0.593413
20.4,0.5938
20.6,0.595065
20.8,0.595823
21,0.596451
21.2,0.597765
21.4,0.598399
21.6,0.598903
21.8,0.599058
22,0.596985
22.2,0.593167
22.4,0.58882
22.6,0.584714
22.8,0.580593
23,0.57531
23.2,0.569539
23.4,0.564928
23.6,0.559982
23.8,0.554551
24,0.546998
24.2,0.538307
24.4,0.528921
24.6,0.517965
24.8,0.506086
25,0.491855
25.2,0.475966
25.4,0.460856
25.6,0.445918
25.8,0.43306
26,0.419921
26.2,0.407554
26.4,0.394775
26.6,0.38089
26.8,0.366956
27,0.351525
27.2,0.336292
27.4,0.32248
27.6,0.308352
27.8,0.294088
28,0.279363
28.2,0.267049
