x/h,y0.5/h
0.2,0.479304
0.4,0.482114
0.6,0.483171
0.8,0.482013
1,0.483927
1.2,0.489054
1.4,0.491748
1.6,0.497814
1.8,0.502928
2,0.507475
2.2,0.51366
2.4,0.516736
2.6,0.523316
2.8,0.529605
3,0.535393
3.2,0.542346
3.4,0.549204
3.6,0.555944
3.8,0.561472
4,0.569032
4.2,0.577081
4.4,0.58465
4.6,0.593821
4.8,0.602438
5,0.60982
5.2,0.619505
5.4,0.627585
5.6,0.637385
5.8,0.648715
6,0.659606
6.2,0.670264
6.4,0.681741
6.6,0.693316
6.8,0.704298
7,0.71604
7.2,0.728289
7.4,0.739017
7.6,0.75255
7.8,0.764147
8,0.777281
8.2,0.790535
8.4,0.805836
8.6,0.820832
8.8,0.83598
9,0.850649
9.2,0.86748
9.4,0.881265
9.6,0.895098
9.8,0.908766
10,0.922885
10.2,0.939242
10.4,0.954631
10.6,0.969672
10.8,0.9849
11,1.00569
11.2,1.02712
11.4,1.0463
11.6,1.0677
11.8,1.0861
12,1.10626
12.2,1.13011
12.4,1.15473
12.6,1.1751
12.8,1.1935
13,1.21581
13.2,1.23998
13.4,1.25991
13.6,1.2867
13.8,1.31059
14,1.33602
14.2,1.36421
14.4,1.39219
14.6,1.41907
14.8,1.44593
15,1.47646
15.2,1.50782
15.4,1.53404
15.6,1.56307
15.8,1.59038
16,1.61598
16.2,1.64407
16.4,1.66708
16.6,1.70378
16.8,1.74692
17,1.78264
17.2,1.81599
17.4,1.84006
17.6,1.87021
17.8,1.89977
18,1.92845
18.2,1.94985
18.4,1.97346
18.6,2.00581
18.8,2.04128
19,2.0751
19.2,2.11417
19.4,2.14918
19.6,2.17685
19.8,2.21054
20,2.23798
20.2,2.26355
20.4,2.29458
20.6,2.31966
20.8,2.34317
21,2.36918
21.2,2.3975
21.4,2.4161
21.6,2.4318
21.8,2.4525
22,2.47588
22.2,2.49286
22.4,2.50008
22.6,2.51344
22.8,2.5232
23,2.53661
23.2,2.56106
23.4,2.59362
23.6,2.63422
23.8,2.66719
24,2.70829
24.2,2.74983
24.4,2.7874
24.6,2.82505
24.8,2.87637
25,2.93823
25.2,2.99508
25.4,3.053
25.6,3.11804
25.8,3.16077
26,3.20229
26.2,3.23221
26.4,3.26194
26.6,3.28888
26.8,3.32186
27,3.36414
27.2,3.41695
27.4,3.46526
27.6,3.51091
27.8,3.54481
28,3.5672
28.2,3.60802
