x/h,Uc/U0,Uc_rms/U0
0.2,0.973751,0.0377661
0.4,0.971089,0.0365753
0.6,0.967495,0.035312
0.8,0.968191,0.0341899
1,0.965414,0.0335773
1.2,0.957144,0.033303
1.4,0.965747,0.0330645
1.6,0.958338,0.0334049
1.8,0.960476,0.0341467
2,0.962938,0.0353952
2.2,0.960283,0.0369431
2.4,0.962904,0.0385712
2.6,0.962958,0.0405533
2.8,0.961698,0.0429986
3,0.963622,0.0447777
3.2,0.963354,0.0471434
3.4,0.961959,0.0495622
3.6,0.962469,0.052303
3.8,0.961332,0.054898
4,0.958536,0.0582181
4.2,0.955644,0.0630116
4.4,0.951998,0.0669375
4.6,0.947738,0.0720234
4.8,0.94277,0.0757852
5,0.937353,0.080713
5.2,0.931277,0.0848837
5.4,0.924931,0.0884622
5.6,0.918261,0.0925949
5.8,0.911547,0.0971947
6,0.904256,0.100236
6.2,0.895979,0.105394
6.4,0.888787,0.108429
6.6,0.88052,0.111277
6.8,0.87255,0.11444
7,0.864755,0.11667
7.2,0.856655,0.118538
7.4,0.849635,0.120222
7.6,0.841666,0.121475
7.8,0.834601,0.123334
8,0.826538,0.123707
8.2,0.818514,0.125704
8.4,0.810304,0.126403
8.6,0.802467,0.128322
8.8,0.794855,0.128807
9,0.788274,0.130338
9.2,0.780528,0.13084
9.4,0.774603,0.131457
9.6,0.768654,0.132057
9.8,0.761381,0.131441
10,0.755189,0.132895
10.2,0.747988,0.132834
10.4,0.74191,0.13289
10.6,0.735821,0.132696
10.8,0.729976,0.132762
11,0.723946,0.13229
11.2,0.71754,0.132664
11.4,0.711511,0.132207
11.6,0.705216,0.132877
11.8,0.698535,0.132837
12,0.692169,0.132762
12.2,0.685653,0.133162
12.4,0.679987,0.133087
12.6,0.673993,0.133472
12.8,0.669185,0.132914
13,0.663731,0.13205
13.2,0.657616,0.132166
13.4,0.652429,0.13195
13.6,0.645865,0.132443
13.8,0.639417,0.134185
14,0.632605,0.135769
14.2,0.628374,0.13629
14.4,0.62395,0.136265
14.6,0.619774,0.137186
14.8,0.61513,0.138012
15,0.609934,0.14038
15.2,0.605895,0.142157
15.4,0.602305,0.142728
15.6,0.599313,0.143769
15.8,0.596121,0.145215
16,0.594824,0.14614
16.2,0.593103,0.146403
16.4,0.591279,0.147852
16.6,0.590058,0.148453
16.8,0.588407,0.14897
17,0.585984,0.14945
17.2,0.584085,0.148872
17.4,0.583451,0.148484
17.6,0.582202,0.147091
17.8,0.581211,0.146191
18,0.580357,0.146166
18.2,0.577985,0.145229
18.4,0.575921,0.145727
18.6,0.573622,0.145527
18.8,0.57237,0.145339
19,0.571693,0.145314
19.2,0.56919,0.145449
19.4,0.567013,0.145333
19.6,0.566025,0.14473
19.8,0.564098,0.14376
20,0.563591,0.142676
20.2,0.561977,0.141292
20.4,0.560872,0.14035
20.6,0.559216,0.139798
20.8,0.557561,0.139956
21,0.555074,0.14153
21.2,0.552893,0.142955
21.4,0.550733,0.144422
21.6,0.548605,0.145838
21.8,0.54614,0.147386
22,0.542954,0.149256
22.2,0.539481,0.151338
22.4,0.535846,0.153504
22.6,0.530919,0.155811
22.8,0.526946,0.158128
23,0.521883,0.159807
23.2,0.515965,0.162917
23.4,0.510244,0.165559
23.6,0.503939,0.1673
23.8,0.497758,0.168254
24,0.489965,0.169949
24.2,0.481958,0.171287
24.4,0.475076,0.172541
24.6,0.466719,0.174756
24.8,0.458811,0.176079
25,0.449429,0.177294
25.2,0.439638,0.178421
25.4,0.431024,0.179568
25.6,0.421702,0.18029
25.8,0.413848,0.180622
26,0.404051,0.18121
26.2,0.393936,0.18139
26.4,0.38415,0.182284
26.6,0.373107,0.182434
26.8,0.361915,0.183311
27,0.349042,0.184389
27.2,0.335945,0.185113
27.4,0.323389,0.185026
27.6,0.308953,0.184062
27.8,0.295283,0.182937
28,0.280864,0.179365
28.2,0.265765,0.17259
