x/h,y0.5/h
0.2,0.479332
0.4,0.482224
0.6,0.483346
0.8,0.482228
1,0.484285
1.2,0.489545
1.4,0.492473
1.6,0.498625
1.8,0.503577
2,0.508009
2.2,0.514268
2.4,0.517831
2.6,0.524668
2.8,0.530934
3,0.536778
3.2,0.543784
3.4,0.551271
3.6,0.558575
3.8,0.563997
4,0.571834
4.2,0.580015
4.4,0.588091
4.6,0.598468
4.8,0.607448
5,0.615749
5.2,0.626643
5.4,0.635694
5.6,0.646595
5.8,0.658311
6,0.670342
6.2,0.682296
6.4,0.69357
6.6,0.705971
6.8,0.719165
7,0.73248
7.2,0.746084
7.4,0.759081
7.6,0.772101
7.8,0.785037
8,0.797323
8.2,0.811065
8.4,0.824523
8.6,0.838267
8.8,0.853026
9,0.865864
9.2,0.882304
9.4,0.895341
9.6,0.908166
9.8,0.921464
10,0.934547
10.2,0.951526
10.4,0.966735
10.6,0.981355
10.8,0.996335
11,1.01574
11.2,1.03629
11.4,1.05537
11.6,1.07573
11.8,1.09514
12,1.11711
12.2,1.14168
12.4,1.16291
12.6,1.18261
12.8,1.20279
13,1.22572
13.2,1.24873
13.4,1.26822
13.6,1.29621
13.8,1.32268
14,1.35404
14.2,1.38908
14.4,1.42284
14.6,1.45773
14.8,1.49393
15,1.53424
15.2,1.57326
15.4,1.61137
15.6,1.65077
15.8,1.69137
16,1.73041
16.2,1.76956
16.4,1.81485
16.6,1.86773
16.8,1.91694
17,1.96582
17.2,2.01178
17.4,2.05415
17.6,2.09804
17.8,2.13689
18,2.18182
18.2,2.22983
18.4,2.27613
18.6,2.32033
18.8,2.36699
19,2.41009
19.2,2.45445
19.4,2.5052
19.6,2.55732
19.8,2.60357
20,2.63795
20.2,2.66928
20.4,2.69588
20.6,2.71914
20.8,2.73911
21,2.7593
21.2,2.77198
21.4,2.78409
21.6,2.79174
21.8,2.79774
22,2.81277
22.2,2.83259
22.4,2.85232
22.6,2.86722
22.8,2.88028
23,2.89611
23.2,2.9135
23.4,2.92857
23.6,2.94809
23.8,2.96627
24,2.99254
24.2,3.01755
24.4,3.04393
24.6,3.07027
24.8,3.0976
25,3.12821
25.2,3.1683
25.4,3.20855
25.6,3.24698
25.8,3.27318
26,3.2956
26.2,3.30383
26.4,3.31695
26.6,3.32399
26.8,3.33627
27,3.35187
27.2,3.36798
27.4,3.37237
27.6,3.37442
27.8,3.38762
28,3.40189
28.2,3.42415
