x/h,Urms/Uc
0.2,0.0384222
0.4,0.038128
0.6,0.037103
0.8,0.0346645
1,0.0353865
1.2,0.0349291
1.4,0.0352308
1.6,0.034995
1.8,0.0363259
2,0.0372151
2.2,0.0390336
2.4,0.0391737
2.6,0.0418179
2.8,0.0423672
3,0.0445867
3.2,0.0448853
3.4,0.0460996
3.6,0.0495557
3.8,0.0507195
4,0.054822
4.2,0.0605687
4.4,0.0616969
4.6,0.0673364
4.8,0.0721843
5,0.0737766
5.2,0.0854909
5.4,0.0880465
5.6,0.0960004
5.8,0.106818
6,0.108923
6.2,0.118183
6.4,0.123563
6.6,0.123882
6.8,0.131122
7,0.133922
7.2,0.136355
7.4,0.13874
7.6,0.144503
7.8,0.149051
8,0.158349
8.2,0.163528
8.4,0.166539
8.6,0.171544
8.8,0.170891
9,0.178657
9.2,0.178072
9.4,0.177474
9.6,0.184915
9.8,0.18946
10,0.195589
10.2,0.200854
10.4,0.209564
10.6,0.224255
10.8,0.226411
11,0.225353
11.2,0.237082
11.4,0.244557
11.6,0.256243
11.8,0.256839
12,0.248558
12.2,0.244853
12.4,0.236895
12.6,0.228027
12.8,0.219777
13,0.215862
13.2,0.22351
13.4,0.228449
13.6,0.231892
13.8,0.233258
14,0.239381
14.2,0.243309
14.4,0.245873
14.6,0.251924
14.8,0.259126
15,0.26906
15.2,0.272849
15.4,0.272843
15.6,0.272298
15.8,0.265627
16,0.254161
16.2,0.243837
16.4,0.232083
16.6,0.2197
16.8,0.205932
17,0.190676
17.2,0.175272
17.4,0.165806
17.6,0.158385
17.8,0.155938
18,0.15938
18.2,0.167876
18.4,0.180023
18.6,0.196894
18.8,0.217717
19,0.243634
19.2,0.267897
19.4,0.289657
19.6,0.317332
19.8,0.344906
20,0.367647
20.2,0.388636
20.4,0.401639
20.6,0.415495
20.8,0.430818
21,0.451002
21.2,0.470732
21.4,0.488805
21.6,0.508566
21.8,0.527432
22,0.540206
22.2,0.549729
22.4,0.553825
22.6,0.557162
22.8,0.544225
23,0.522847
23.2,0.501045
23.4,0.46467
23.6,0.429571
23.8,0.38318
24,0.318796
24.2,0.275197
24.4,0.257715
24.6,0.245925
24.8,0.240381
25,0.232266
25.2,0.227298
25.4,0.215911
25.6,0.210125
25.8,0.204324
26,0.1946
26.2,0.184734
26.4,0.178897
26.6,0.169332
26.8,0.163298
27,0.154879
27.2,0.138664
27.4,0.128859
27.6,0.122926
27.8,0.113779
28,0.0988009
28.2,0.0851311
