x/h,Uc/U0,Uc_rms/U0
0.2,0.971843,0.0375882
0.4,0.969008,0.0364489
0.6,0.965368,0.0351727
0.8,0.966167,0.03404
1,0.963129,0.0333541
1.2,0.955183,0.0332125
1.4,0.963653,0.0329688
1.6,0.956365,0.0333245
1.8,0.958565,0.0338495
2,0.961212,0.034952
2.2,0.958386,0.0364202
2.4,0.961172,0.0378388
2.6,0.96122,0.0397252
2.8,0.959958,0.0418703
3,0.961905,0.0438337
3.2,0.961545,0.0457968
3.4,0.960202,0.0483029
3.6,0.96049,0.0508481
3.8,0.959377,0.0537279
4,0.956743,0.0572489
4.2,0.953621,0.0621209
4.4,0.950317,0.0658779
4.6,0.946328,0.0713696
4.8,0.941447,0.0745874
5,0.936598,0.0795592
5.2,0.930515,0.0834435
5.4,0.924658,0.0863268
5.6,0.918047,0.0906515
5.8,0.911423,0.095071
6,0.904256,0.0972589
6.2,0.896317,0.102598
6.4,0.889166,0.104882
6.6,0.88109,0.108572
6.8,0.872804,0.111469
7,0.865602,0.114262
7.2,0.857384,0.115398
7.4,0.850817,0.117144
7.6,0.842606,0.118423
7.8,0.836194,0.120333
8,0.827719,0.120518
8.2,0.819956,0.123047
8.4,0.811187,0.123941
8.6,0.803384,0.125865
8.8,0.795503,0.126416
9,0.788671,0.127638
9.2,0.780553,0.128543
9.4,0.774567,0.129439
9.6,0.767875,0.129661
9.8,0.75962,0.130134
10,0.752876,0.13126
10.2,0.745443,0.131566
10.4,0.739122,0.131717
10.6,0.732768,0.131986
10.8,0.726669,0.132153
11,0.720167,0.131957
11.2,0.712992,0.13266
11.4,0.706567,0.13287
11.6,0.699852,0.134078
11.8,0.692914,0.134246
12,0.687281,0.133898
12.2,0.681166,0.134206
12.4,0.675519,0.133962
12.6,0.670641,0.133399
12.8,0.66681,0.132205
13,0.662195,0.13114
13.2,0.657079,0.131428
13.4,0.653,0.130903
13.6,0.647163,0.131692
13.8,0.641921,0.134113
14,0.636161,0.135588
14.2,0.632946,0.136388
14.4,0.629287,0.136535
14.6,0.625705,0.137507
14.8,0.621605,0.138186
15,0.618055,0.140279
15.2,0.615737,0.141479
15.4,0.613599,0.141086
15.6,0.61287,0.140913
15.8,0.611664,0.141245
16,0.612487,0.140938
16.2,0.612437,0.14083
16.4,0.612407,0.141652
16.6,0.613322,0.141077
16.8,0.613637,0.140545
17,0.612451,0.14052
17.2,0.611857,0.139255
17.4,0.611579,0.138999
17.6,0.610556,0.137933
17.8,0.609829,0.136412
18,0.609547,0.135847
18.2,0.607457,0.134352
18.4,0.605321,0.134458
18.6,0.601944,0.134719
18.8,0.599713,0.135073
19,0.597559,0.136311
19.2,0.593724,0.136968
19.4,0.590189,0.137445
19.6,0.587404,0.138722
19.8,0.583396,0.139567
20,0.581051,0.140769
20.2,0.57772,0.141156
20.4,0.574677,0.141633
20.6,0.570988,0.142711
20.8,0.567058,0.144561
21,0.562565,0.147894
21.2,0.558189,0.151026
21.4,0.553987,0.153729
21.6,0.548994,0.156698
21.8,0.543901,0.159915
22,0.537554,0.162596
22.2,0.531499,0.165727
22.4,0.52537,0.168669
22.6,0.517614,0.171595
22.8,0.511095,0.174073
23,0.503206,0.175465
23.2,0.494482,0.178538
23.4,0.48599,0.181018
23.6,0.477092,0.182287
23.8,0.468613,0.18238
24,0.458178,0.183419
24.2,0.447682,0.184064
24.4,0.438779,0.184785
24.6,0.427626,0.186387
24.8,0.417209,0.186661
25,0.405048,0.186735
25.2,0.392648,0.186833
25.4,0.381346,0.186469
25.6,0.369329,0.185977
25.8,0.359027,0.18458
26,0.346753,0.183416
26.2,0.334537,0.18195
26.4,0.322532,0.181055
26.6,0.30981,0.17969
26.8,0.29666,0.178554
27,0.281376,0.177012
27.2,0.266311,0.17537
27.4,0.251965,0.172738
27.6,0.235929,0.168981
27.8,0.221186,0.165617
28,0.205711,0.159483
28.2,0.189276,0.148423
