x/h,y0.5/h
0.2,0.479324
0.4,0.482058
0.6,0.483113
0.8,0.481983
1,0.483864
1.2,0.488906
1.4,0.491482
1.6,0.49706
1.8,0.502138
2,0.506565
2.2,0.51326
2.4,0.516323
2.6,0.522867
2.8,0.52966
3,0.535526
3.2,0.542006
3.4,0.548715
3.6,0.555336
3.8,0.559757
4,0.56734
4.2,0.575281
4.4,0.583288
4.6,0.592748
4.8,0.600421
5,0.607333
5.2,0.616668
5.4,0.624262
5.6,0.633939
5.8,0.645943
6,0.657827
6.2,0.668038
6.4,0.679927
6.6,0.692819
6.8,0.703742
7,0.714952
7.2,0.726818
7.4,0.738197
7.6,0.750042
7.8,0.761255
8,0.774335
8.2,0.785559
8.4,0.801077
8.6,0.814591
8.8,0.830621
9,0.846247
9.2,0.863488
9.4,0.878148
9.6,0.891152
9.8,0.901445
10,0.914
10.2,0.930113
10.4,0.94474
10.6,0.960807
10.8,0.978494
11,0.999366
11.2,1.01973
11.4,1.03941
11.6,1.06273
11.8,1.08469
12,1.10939
12.2,1.13739
12.4,1.16531
12.6,1.19049
12.8,1.2126
13,1.23732
13.2,1.25851
13.4,1.27766
13.6,1.30847
13.8,1.33411
14,1.36392
14.2,1.39298
14.4,1.42138
14.6,1.44903
14.8,1.47953
15,1.51155
15.2,1.54485
15.4,1.57279
15.6,1.60175
15.8,1.62779
16,1.65083
16.2,1.67417
16.4,1.69582
16.6,1.74162
16.8,1.78323
17,1.81495
17.2,1.84652
17.4,1.86347
17.6,1.88723
17.8,1.91284
18,1.93502
18.2,1.94722
18.4,1.96366
18.6,1.98737
18.8,2.01362
19,2.04161
19.2,2.07765
19.4,2.10708
19.6,2.12911
19.8,2.14984
20,2.1734
20.2,2.18889
20.4,2.20984
20.6,2.22829
20.8,2.24408
21,2.2554
21.2,2.27741
21.4,2.30481
21.6,2.33389
21.8,2.35724
22,2.3741
22.2,2.37325
22.4,2.366
22.6,2.36194
22.8,2.37755
23,2.38511
23.2,2.40425
23.4,2.42536
23.6,2.44575
23.8,2.47174
24,2.50967
24.2,2.55108
24.4,2.59214
24.6,2.65173
24.8,2.70619
25,2.76432
25.2,2.82948
25.4,2.8987
25.6,2.96154
25.8,2.99748
26,3.05131
26.2,3.10171
26.4,3.14256
26.6,3.19984
26.8,3.24387
27,3.29976
27.2,3.366
27.4,3.43866
27.6,3.49371
27.8,3.52709
28,3.57575
28.2,3.66452
