y/y0.5,U/Uc_xh0,U/Uc_xh2,U/Uc_xh4,U/Uc_xh6,U/Uc_xh8,U/Uc_xh10
-10,,-0.0298005,-0.0378024,-0.0483938,-0.0625239,-0.0785689
-9.96552,,-0.0293905,-0.0377649,-0.048568,-0.0626286,-0.0784619
-9.93103,,-0.0296266,-0.0376128,-0.048519,-0.0625098,-0.0783212
-9.89655,,-0.0299134,-0.0376541,-0.0483158,-0.0623858,-0.0783408
-9.86207,,-0.0295345,-0.0377178,-0.0484099,-0.0624862,-0.0783314
-9.82759,,-0.0293791,-0.0375804,-0.0485462,-0.062509,-0.0781753
-9.7931,,-0.0298027,-0.037515,-0.0483635,-0.0623458,-0.0781067
-9.75862,,-0.0297641,-0.0376364,-0.0482519,-0.0623451,-0.0781536
-9.72414,,-0.0293258,-0.037632,-0.0484341,-0.0624777,-0.0780723
-9.68966,,-0.0295155,-0.0375131,-0.0484351,-0.0623937,-0.0779312
-9.65517,,-0.0298581,-0.0375787,-0.0482208,-0.0622523,-0.0779436
-9.62069,,-0.0295155,-0.0376863,-0.0482891,-0.0623394,-0.0779636
-9.58621,,-0.0293039,-0.0375962,-0.0484651,-0.0624005,-0.0778333
-9.55172,,-0.029726,-0.0375405,-0.0483128,-0.0622436,-0.0777524
-9.51724,,-0.0297598,-0.0376523,-0.0481688,-0.0622078,-0.0777951
-9.48276,,-0.0293091,-0.0376447,-0.0483499,-0.0623611,-0.0777269
-9.44828,,-0.0294416,-0.0375127,-0.048396,-0.0623292,-0.0775736
-9.41379,,-0.0298217,-0.0375506,-0.0481747,-0.0621832,-0.0775515
-9.37931,,-0.0295116,-0.0376468,-0.0482013,-0.0622659,-0.0775662
-9.34483,,-0.0292285,-0.0375529,-0.048413,-0.0623733,-0.0774434
-9.31034,,-0.0296151,-0.037473,-0.0483065,-0.0622351,-0.0773477
-9.27586,,-0.029698,-0.0375591,-0.0481332,-0.062149,-0.0773824
-9.24138,,-0.0292259,-0.0375374,-0.0482996,-0.0622784,-0.0773402
-9.2069,,-0.0292868,-0.0373822,-0.0483816,-0.0622575,-0.0771927
-9.17241,,-0.0296933,-0.0373931,-0.0481331,-0.06206,-0.0771423
-9.13793,,-0.0294345,-0.0374799,-0.0480761,-0.0620704,-0.077136
-9.10345,,-0.0291123,-0.0374013,-0.0482613,-0.0621707,-0.0769986
-9.06897,,-0.0294898,-0.037334,-0.0481589,-0.062028,-0.0768492
-9.03448,,-0.0296568,-0.037448,-0.0479283,-0.061886,-0.0768248
-9,,-0.0291989,-0.0374854,-0.0480495,-0.0619902,-0.076765
-8.96552,,-0.029202,-0.0373818,-0.0481715,-0.0620035,-0.0766039
-8.93103,,-0.0296435,-0.0374246,-0.047948,-0.0617992,-0.0765398
-8.89655,,-0.0294436,-0.0375354,-0.0478638,-0.0617668,-0.0765644
