x/h=0.2,,,,x/h=1,,,,x/h=3,,,,x/h=10,,,,x/h=20,,,x/h=30,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
y/y0.5,U/Uc,,,y/y0.5,U/Uc,,,y/y0.5,U/Uc,,,y/y0.5,U/Uc,,,y/y0.5,U/Uc,,y/y0.5,U/Uc
-1.106784177,0.178109682,,,0.70306,0.85139,,,-0.34037,0.96743,,,0.50263,0.78533,,,-1.09782,0.4354,,1.23145,0.35531
-1.147776184,0.108596243,,,0.74442,0.81792,,,-0.42546,0.93735,,,0.4787,0.79507,,,-1.0889,0.44192,,1.19987,0.36805
-1.18876819,0.07046748,,,0.78577,0.78072,,,-0.51055,0.89272,,,0.45476,0.80992,,,-1.07997,0.43826,,1.1683,0.4036
-1.229760197,0.05204461,,,0.82713,0.73189,,,-0.54459,0.87334,,,0.43083,0.8221,,,-1.07105,0.45352,,1.13672,0.40295
-1.332240213,0.039543376,,,0.86849,0.6811,,,-0.57862,0.85162,,,0.40689,0.84023,,,-1.06212,0.46323,,1.10515,0.41799
-1.43472023,0.037832681,,,0.90984,0.62527,,,-0.61266,0.82391,,,0.38296,0.8534,,,-1.0532,0.46552,,1.07357,0.44455
,,,,0.9512,0.56567,,,-0.6467,0.79913,,,0.35902,0.86726,,,-1.04427,0.46866,,1.042,0.46117
,,,,0.99256,0.51042,,,-0.68074,0.77239,,,0.29919,0.89807,,,-1.03534,0.48546,,1.01042,0.48967
,,,,1.03391,0.4529,,,-0.71477,0.74624,,,0.23935,0.93026,,,-1.02642,0.4758,,0.97884,0.51313
,,,,1.07527,0.40027,,,-0.74881,0.71427,,,0.17951,0.95132,,,-1.01749,0.49071,,0.94727,0.51925
,,,,1.11663,0.34533,,,-0.78285,0.68553,,,0.11967,0.97006,,,-1.00857,0.50334,,0.94095,0.52328
,,,,1.15798,0.29458,,,-0.81688,0.65832,,,0.05984,0.98818,,,-0.99964,0.49797,,0.93464,0.52083
,,,,1.19934,0.24561,,,-0.85092,0.62851,,,0,1,,,-0.99072,0.51014,,0.92832,0.53825
,,,,1.24069,0.20078,,,-0.88496,0.5979,,,-0.04914,1.00744,,,-0.98179,0.51511,,0.92201,0.53098
,,,,1.34409,0.11369,,,-0.91899,0.56896,,,-0.09828,1.01064,,,-0.97287,0.52071,,0.91569,0.53739
,,,,1.44748,0.06601,,,-0.95303,0.53885,,,-0.14742,1.00757,,,-0.96394,0.52506,,0.90938,0.54106
,,,,1.55087,0.04896,,,-0.98707,0.51081,,,-0.19656,1.00102,,,-0.95502,0.52843,,0.90306,0.53962
,,,,1.65426,0.0379,,,-1.0211,0.48246,,,-0.2457,0.98241,,,-0.94609,0.53523,,0.89675,0.56164
,,,,1.75765,0.03505,,,-1.10619,0.41022,,,-0.29484,0.96499,,,-0.93717,0.54494,,0.89043,0.53969
,,,,1.86104,0.03684,,,-1.19129,0.34185,,,-0.3145,0.95869,,,-0.92824,0.55254,,0.88412,0.54725
,,,,1.96443,0.03621,,,-1.27638,0.2825,,,-0.33415,0.94658,,,-0.91931,0.55774,,0.8778,0.56423
,,,,2.06782,0.03284,,,-1.36147,0.22531,,,-0.35381,0.9366,,,-0.91039,0.56025,,0.87149,0.55919
,,,,2.17122,0.0374,,,-1.44656,0.17622,,,-0.37346,0.92576,,,-0.90146,0.58025,,0.86517,0.56625
,,,,2.27461,0.03595,,,-1.53165,0.13272,,,-0.39312,0.91287,,,-0.89254,0.57945,,0.85886,0.5733
,,,,2.378,0.03684,,,-1.61675,0.09579,,,-0.41278,0.90383,,,-0.88361,0.58117,,0.85254,0.57654
,,,,2.48139,0.03757,,,-1.70184,0.07094,,,-0.43243,0.88898,,,-0.87469,0.58842,,0.84623,0.58755
,,,,,,,,-1.78693,0.05552,,,-0.45209,0.8808,,,-0.86576,0.59717,,0.83991,0.59122
,,,,,,,,-1.87202,0.04536,,,-0.47174,0.86579,,,-0.85684,0.59922,,0.8336,0.57819
,,,,,,,,-1.95711,0.03897,,,-0.4914,0.85397,,,-0.84791,0.60808,,0.82728,0.58309
,,,,,,,,-2.04221,0.03534,,,-0.51106,0.84297,,,-0.83899,0.61659,,0.82097,0.5928
,,,,,,,,-2.1273,0.03234,,,-0.53071,0.83315,,,-0.83006,0.62625,,0.81465,0.59072
,,,,,,,,-2.21239,0.03067,,,-0.55037,0.81298,,,-0.82114,0.62842,,0.80834,0.5995
,,,,,,,,-2.29748,0.03184,,,-0.57002,0.79989,,,-0.81221,0.62819,,0.80202,0.59683
,,,,,,,,-2.38257,0.03061,,,-0.58968,0.78897,,,-0.80328,0.64042,,0.79571,0.60684
,,,,,,,,,,,,-0.60934,0.77216,,,-0.75866,0.66482,,0.78939,0.619
,,,,,,,,,,,,-0.62899,0.75915,,,-0.71403,0.69836,,0.78308,0.61137
,,,,,,,,,,,,-0.64865,0.74479,,,-0.6694,0.72659,,0.77676,0.63203
,,,,,,,,,,,,-0.6683,0.73166,,,-0.62478,0.76179,,0.77045,0.63073
,,,,,,,,,,,,-0.68796,0.72205,,,-0.58015,0.79298,,0.76413,0.63642
,,,,,,,,,,,,-0.70762,0.70422,,,-0.53552,0.82144,,0.75781,0.6339
,,,,,,,,,,,,-0.72727,0.68773,,,-0.4909,0.84572,,0.7515,0.62497
,,,,,,,,,,,,-0.74693,0.67882,,,-0.44627,0.87926,,0.74518,0.64318
,,,,,,,,,,,,-0.76658,0.66491,,,-0.40164,0.90441,,0.73887,0.64455
,,,,,,,,,,,,-0.78624,0.64846,,,-0.35702,0.93275,,0.73255,0.64268
,,,,,,,,,,,,-0.88452,0.58396,,,-0.31239,0.9496,,0.72624,0.64527
,,,,,,,,,,,,-0.9828,0.51278,,,-0.26776,0.96829,,0.71992,0.65362
,,,,,,,,,,,,-1.08108,0.44455,,,-0.22313,0.98257,,0.71361,0.67039
,,,,,,,,,,,,-1.17936,0.39056,,,-0.17851,0.99531,,0.70729,0.66448
,,,,,,,,,,,,-1.27764,0.33411,,,-0.13388,0.99571,,0.70098,0.6665
,,,,,,,,,,,,-1.37592,0.27688,,,-0.08925,1.00851,,0.69466,0.66132
,,,,,,,,,,,,-1.4742,0.22915,,,-0.04463,0.99714,,0.68835,0.66801
,,,,,,,,,,,,-1.57248,0.18244,,,0,1,,0.68203,0.67513
,,,,,,,,,,,,-1.67076,0.15237,,,0.05313,0.98509,,0.67572,0.6855
,,,,,,,,,,,,-1.76904,0.11969,,,0.10627,0.97629,,0.6694,0.68442
,,,,,,,,,,,,-1.86732,0.0951,,,0.1594,0.95675,,0.66309,0.69198
,,,,,,,,,,,,-1.9656,0.07931,,,0.21254,0.93892,,0.65677,0.69968
,,,,,,,,,,,,-2.06388,0.0668,,,0.26567,0.9232,,0.65046,0.70133
,,,,,,,,,,,,-2.16216,0.0589,,,0.31881,0.89566,,0.64414,0.71285
,,,,,,,,,,,,-2.26044,0.05309,,,0.37194,0.86355,,0.63783,0.70651
,,,,,,,,,,,,-2.35872,0.04962,,,0.42508,0.83521,,0.63151,0.71853
,,,,,,,,,,,,-2.457,0.04602,,,0.47821,0.81292,,0.6252,0.71414
,,,,,,,,,,,,-2.55528,0.04545,,,0.53135,0.77676,,0.61888,0.71155
,,,,,,,,,,,,-2.65356,0.04074,,,0.58448,0.75121,,0.61257,0.71839
,,,,,,,,,,,,-2.75184,0.03923,,,0.63762,0.72196,,0.60625,0.72818
